0.000000000000000000e+00,6.350000000000000089e-01,5.550000000000000488e-01,2.399999999999999911e-01,0.000000000000000000e+00
2.000000000000000111e-01,6.250000000000000000e-01,5.500000000000000444e-01,3.549999999999999822e-01,5.000000000000000278e-02
4.000000000000000222e-01,6.199999999999997735e-01,5.449999999999998179e-01,4.199999999999998734e-01,2.549999999999998934e-01
6.000000000000000888e-01,5.950000000000000844e-01,5.400000000000001465e-01,4.500000000000001221e-01,3.300000000000000711e-01
8.000000000000000444e-01,5.700000000000000622e-01,5.300000000000001377e-01,4.650000000000001354e-01,3.850000000000001199e-01
1.000000000000000000e+00,5.249999999999995781e-01,5.049999999999995604e-01,4.799999999999995937e-01,4.249999999999996003e-01
1.200000000000000178e+00,4.850000000000000977e-01,4.700000000000001399e-01,4.750000000000000888e-01,4.500000000000001221e-01
1.400000000000000133e+00,4.300000000000001044e-01,4.400000000000001132e-01,4.600000000000001310e-01,4.550000000000001266e-01
1.600000000000000089e+00,3.300000000000000711e-01,3.950000000000001288e-01,4.400000000000001132e-01,4.650000000000001354e-01
1.800000000000000044e+00,1.850000000000000255e-01,2.950000000000000400e-01,4.100000000000000866e-01,4.550000000000001266e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.749999999999998501e-01,3.649999999999996581e-01,4.349999999999996092e-01
2.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799999999999997491e-01,4.099999999999996425e-01
2.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000002254e-01,3.650000000000004907e-01
2.600000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999997113e-01
2.800000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000002609e-01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999998307e-02
